customer_id,first_name,last_name,email,phone,address,city,state,zip_code,date_of_birth,registration_date,customer_segment,credit_score,annual_income,is_active,created_at,updated_at
CUST_000001,James,Johnson,james.johnson760@outlook.com,+1-450-328-3286,1680 Elm St,New York,NY,81482,1999-10-22,2023-03-23,Premium,330,41396.67,True,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000002,William,Martinez,william.martinez575@yahoo.com,+1-933-765-9928,6874 Oak St,New York,NY,68878,1954-09-27,2024-01-12,Premium,463,147174.39,False,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000003,David,Williams,david.williams981@outlook.com,+1-304-194-7224,1585 First St,Houston,TX,55082,1953-06-11,2024-02-09,Premium,770,118839.92,False,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000004,Jane,Rodriguez,jane.rodriguez850@business.org,+1-570-691-4150,1140 Main St,Phoenix,AZ,96673,1987-02-28,2023-12-20,Premium,538,176634.64,False,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000005,David,Davis,david.davis167@outlook.com,+1-563-314-5374,1170 Park St,Philadelphia,PA,93227,1992-04-02,2022-08-06,Standard,467,105895.54,False,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000006,Daniel,Hernandez,daniel.hernandez225@outlook.com,+1-986-894-1916,3753 Main St,Dallas,TX,51347,1971-08-13,2024-02-02,Premium,516,184798.82,False,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000007,Sarah,Hernandez,sarah.hernandez406@company.com,+1-346-371-3287,4041 Elm St,San Diego,CA,83579,1959-04-02,2024-02-12,VIP,708,88349.38,True,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000008,William,Davis,william.davis774@gmail.com,+1-312-256-3621,6917 Park St,Los Angeles,CA,18326,1973-01-31,2023-06-14,VIP,841,68997.47,True,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000009,James,Lopez,james.lopez699@business.org,+1-968-373-6573,1828 First St,Los Angeles,CA,66985,1993-06-01,2023-01-17,Premium,569,195080.42,True,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000010,William,Johnson,william.johnson862@business.org,+1-823-303-3504,6127 Oak St,Phoenix,AZ,80697,1960-01-10,2025-08-02,Basic,800,28408.43,False,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000011,Daniel,Gonzalez,daniel.gonzalez246@gmail.com,+1-446-999-2290,1404 Elm St,Phoenix,AZ,73699,2001-05-25,2022-08-09,Standard,431,140456.39,True,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000012,David,Rodriguez,david.rodriguez434@yahoo.com,+1-752-873-4295,5108 Second St,San Jose,CA,98039,1949-04-20,2023-07-01,VIP,829,104010.07,True,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000013,Sarah,Johnson,sarah.johnson22@business.org,+1-767-335-4608,118 Main St,Philadelphia,PA,92719,2002-04-28,2024-04-22,Premium,332,175436.2,True,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000014,William,Brown,william.brown686@company.com,+1-419-652-3167,9356 Park St,Phoenix,AZ,71953,1985-10-21,2022-12-09,VIP,494,41507.01,False,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000015,Emily,Miller,emily.miller479@gmail.com,+1-889-769-2612,994 Second St,San Antonio,TX,54473,1997-10-20,2024-03-12,Standard,494,118850.01,True,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000016,Robert,Williams,robert.williams474@yahoo.com,+1-277-553-2604,829 Elm St,Phoenix,AZ,80855,2006-04-13,2025-01-24,Standard,470,96122.46,False,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000017,Sarah,Miller,sarah.miller169@company.com,+1-202-499-5345,7455 First St,New York,NY,65444,1957-09-29,2022-11-11,Standard,494,76923.87,True,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000018,Jennifer,Lopez,jennifer.lopez63@outlook.com,+1-258-151-8811,8239 Park St,Dallas,TX,30635,2002-07-03,2022-09-28,Premium,490,36991.23,True,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000019,James,Brown,james.brown123@business.org,+1-452-692-1651,1344 Second St,San Antonio,TX,96163,1955-03-30,2022-08-29,Basic,567,60745.36,False,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000020,Sarah,Jones,sarah.jones135@outlook.com,+1-668-423-2188,153 Second St,San Antonio,TX,91416,1957-02-04,2025-01-11,Premium,850,62302.0,False,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000021,Michael,Garcia,michael.garcia901@yahoo.com,+1-578-391-3584,7180 Park St,Los Angeles,CA,49651,1952-09-23,2022-08-16,Premium,606,188057.31,True,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000022,Daniel,Williams,daniel.williams119@gmail.com,+1-960-666-3546,4463 First St,Phoenix,AZ,89276,1988-09-16,2023-09-01,Standard,570,113446.59,False,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000023,Daniel,Smith,daniel.smith650@company.com,+1-483-145-1058,5465 Oak St,Los Angeles,CA,93507,1984-02-08,2024-09-07,VIP,737,123158.7,True,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000024,Jane,Lopez,jane.lopez559@gmail.com,+1-578-696-3426,7042 Oak St,Chicago,IL,15482,1979-12-13,2023-07-19,Premium,666,61763.39,True,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000025,James,Johnson,james.johnson799@business.org,+1-616-735-3532,3879 Oak St,Philadelphia,PA,33206,1970-08-13,2025-06-14,Standard,640,161917.64,False,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000026,Christopher,Hernandez,christopher.hernandez274@yahoo.com,+1-918-210-7267,635 Second St,Houston,TX,39154,1989-09-13,2023-01-04,Basic,612,168593.87,True,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000027,Sarah,Smith,sarah.smith409@outlook.com,+1-485-985-2137,4574 First St,Houston,TX,94080,1961-11-26,2023-05-08,Basic,328,45184.81,False,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000028,Michael,Martinez,michael.martinez40@gmail.com,+1-810-544-6663,5140 Second St,Phoenix,AZ,89457,1961-09-21,2024-12-10,VIP,494,69576.44,False,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000029,John,Rodriguez,john.rodriguez704@yahoo.com,+1-572-541-2146,5410 Park St,Dallas,TX,51145,1948-02-03,2024-11-21,Basic,819,79124.82,False,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000030,Emily,Miller,emily.miller568@yahoo.com,+1-396-530-7211,2852 Park St,Phoenix,AZ,84593,1980-08-09,2023-04-25,Premium,611,75209.9,False,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000031,Christopher,Martinez,christopher.martinez671@outlook.com,+1-676-552-8244,3502 Park St,San Jose,CA,72021,1992-05-19,2025-02-11,Basic,827,141174.42,False,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000032,Jane,Gonzalez,jane.gonzalez689@outlook.com,+1-430-925-4262,2415 Main St,Houston,TX,16057,1985-08-21,2022-12-04,Premium,766,97527.18,True,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000033,Mary,Lopez,mary.lopez507@company.com,+1-449-251-1090,1747 Second St,San Antonio,TX,38683,1991-10-29,2022-09-08,VIP,351,122546.01,True,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000034,Lisa,Williams,lisa.williams684@business.org,+1-772-709-6198,7252 Park St,San Diego,CA,76162,1969-04-27,2023-02-02,Standard,786,103762.21,True,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000035,Patricia,Hernandez,patricia.hernandez785@business.org,+1-696-741-4919,4500 Second St,Phoenix,AZ,20155,1981-12-21,2024-04-10,Basic,643,80949.17,True,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000036,Michael,Williams,michael.williams393@yahoo.com,+1-923-319-2052,6798 Second St,Houston,TX,53369,1958-12-04,2022-12-23,VIP,363,61196.02,False,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000037,Robert,Gonzalez,robert.gonzalez969@gmail.com,+1-983-689-7232,7815 Main St,San Jose,CA,56105,1980-10-25,2023-05-28,VIP,525,110440.16,False,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000038,Robert,Davis,robert.davis399@outlook.com,+1-884-795-7624,2705 Second St,New York,NY,26728,1951-10-12,2022-08-06,Premium,703,128581.24,True,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000039,Jane,Hernandez,jane.hernandez139@company.com,+1-386-151-5262,6212 First St,San Antonio,TX,37742,1966-10-24,2023-10-04,Basic,688,73694.91,False,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000040,David,Johnson,david.johnson20@business.org,+1-253-458-4673,1125 Elm St,San Diego,CA,15276,2004-10-27,2024-03-15,Standard,320,133733.74,True,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000041,Michael,Davis,michael.davis578@yahoo.com,+1-676-816-5198,6044 Oak St,Los Angeles,CA,89415,1953-02-15,2024-12-12,Standard,618,43917.28,True,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000042,Daniel,Jones,daniel.jones694@company.com,+1-606-832-4249,1246 Park St,San Jose,CA,92213,1985-10-26,2025-01-07,Basic,423,164339.76,True,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000043,Emily,Rodriguez,emily.rodriguez678@outlook.com,+1-270-618-6590,208 Second St,San Antonio,TX,74251,1998-02-19,2023-02-28,Basic,770,148779.01,False,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000044,Michael,Lopez,michael.lopez989@outlook.com,+1-830-927-9817,7922 Second St,Dallas,TX,67091,1954-06-14,2024-02-01,Basic,551,170377.93,True,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000045,David,Davis,david.davis769@company.com,+1-783-724-7209,5512 Main St,Houston,TX,74789,1978-06-12,2024-07-27,VIP,517,87094.37,False,2025-08-04 19:19:11,2025-08-04 19:19:11
CUST_000046,Emily,Jones,emily.jones719@outlook.com,+1-769-110-9464,3131 Main St,San Jose,CA,41635,1971-02-22,2022-11-07,Standard,787,138033.01,False,2025-08-04 19:19:11,2025-08-04 19:19:11
