employee_id,first_name,last_name,email,phone,department,position,hire_date,salary,manager_id,is_active,created_at,updated_at
EMP_000001,Taylor,Jackson,taylor.jackson@company.com,+1-886-778-6927,Operations,Senior Specialist,2019-09-05,55237.54,,True,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000002,Morgan,Anderson,morgan.anderson@company.com,+1-552-517-2930,Marketing,Coordinator,2018-09-02,87756.3,,True,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000003,Casey,White,casey.white@company.com,+1-804-881-6877,Finance,Senior Specialist,2020-08-22,112701.05,,True,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000004,Drew,White,drew.white@company.com,+1-552-516-2192,Customer Service,Senior Specialist,2025-05-05,101797.35,,False,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000005,Jordan,Wilson,jordan.wilson@company.com,+1-984-294-9659,IT,Coordinator,2021-09-25,147852.15,,True,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000006,Morgan,Moore,morgan.moore@company.com,+1-995-373-7531,Finance,Senior Specialist,2022-10-24,104637.23,,False,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000007,Morgan,Anderson,morgan.anderson@company.com,+1-230-952-3690,HR,Senior Specialist,2025-07-01,40716.47,,False,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000008,Drew,White,drew.white@company.com,+1-264-156-2913,Customer Service,Associate,2019-11-11,62226.45,,True,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000009,Taylor,Jackson,taylor.jackson@company.com,+1-226-149-2084,HR,Coordinator,2024-11-18,107327.44,,False,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000010,Jordan,Taylor,jordan.taylor@company.com,+1-844-721-2198,Customer Service,Specialist,2024-11-25,89845.06,,True,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000011,Taylor,Harris,taylor.harris@company.com,+1-857-521-3353,Sales,Specialist,2023-01-14,110125.32,,False,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000012,Alex,Harris,alex.harris@company.com,+1-651-553-5612,HR,Senior Specialist,2024-11-09,118574.69,,False,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000013,Casey,White,casey.white@company.com,+1-981-983-7744,Operations,Senior Specialist,2018-10-28,55091.24,,True,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000014,Jordan,Harris,jordan.harris@company.com,+1-942-740-8768,HR,Manager,2023-09-15,102196.35,,True,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000015,Morgan,Anderson,morgan.anderson@company.com,+1-606-636-9741,IT,Manager,2023-04-28,61828.32,,False,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000016,Taylor,Thompson,taylor.thompson@company.com,+1-335-421-6863,Operations,Senior Specialist,2023-03-29,77921.52,,False,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000017,Jordan,Harris,jordan.harris@company.com,+1-757-181-8606,Sales,Senior Specialist,2015-12-26,149572.19,,True,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000018,Jordan,Thompson,jordan.thompson@company.com,+1-817-267-1007,HR,Manager,2023-01-21,122537.14,,True,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000019,Jamie,Wilson,jamie.wilson@company.com,+1-678-607-9947,Finance,Specialist,2021-04-17,53339.06,,True,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000020,Blake,Thompson,blake.thompson@company.com,+1-883-658-5861,IT,Specialist,2018-11-12,45410.26,,True,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000021,Jamie,Anderson,jamie.anderson@company.com,+1-344-984-7481,IT,Coordinator,2025-01-10,147038.64,,True,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000022,Drew,Taylor,drew.taylor@company.com,+1-491-154-4874,HR,Senior Specialist,2017-11-11,67513.85,,True,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000023,Drew,Harris,drew.harris@company.com,+1-747-210-3322,HR,Associate,2018-01-10,96472.99,,True,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000024,Jordan,Anderson,jordan.anderson@company.com,+1-365-754-2511,HR,Coordinator,2019-07-01,131005.51,,True,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000025,Taylor,Taylor,taylor.taylor@company.com,+1-731-529-3811,Finance,Coordinator,2021-09-11,120800.28,,False,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000026,Blake,Moore,blake.moore@company.com,+1-976-536-4795,Customer Service,Coordinator,2022-10-14,136430.74,,True,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000027,Jamie,White,jamie.white@company.com,+1-229-446-4750,Finance,Associate,2017-03-23,42521.06,,False,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000028,Drew,Thompson,drew.thompson@company.com,+1-664-589-2000,HR,Associate,2022-11-12,139034.38,,True,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000029,Alex,Jackson,alex.jackson@company.com,+1-982-102-7162,Finance,Senior Specialist,2024-07-25,112480.16,,True,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000030,Casey,Moore,casey.moore@company.com,+1-844-457-6372,Operations,Senior Specialist,2024-07-17,149136.59,,False,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000031,Alex,Jackson,alex.jackson@company.com,+1-752-558-2718,Operations,Specialist,2020-12-20,102637.5,,True,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000032,Casey,Thompson,casey.thompson@company.com,+1-784-242-6363,Finance,Associate,2020-05-22,123045.93,,True,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000033,Morgan,Moore,morgan.moore@company.com,+1-640-738-9877,IT,Coordinator,2015-10-11,41778.29,,True,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000034,Casey,Anderson,casey.anderson@company.com,+1-538-917-1555,Finance,Senior Specialist,2018-01-31,132594.03,,False,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000035,Morgan,Taylor,morgan.taylor@company.com,+1-863-233-5884,Finance,Specialist,2016-01-09,120896.72,,True,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000036,Jordan,Taylor,jordan.taylor@company.com,+1-555-562-9940,Finance,Associate,2016-06-04,122629.18,,True,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000037,Blake,Thompson,blake.thompson@company.com,+1-565-283-4854,Finance,Associate,2020-06-28,82954.58,,True,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000038,Casey,Anderson,casey.anderson@company.com,+1-830-562-5503,HR,Manager,2018-08-16,46982.92,,False,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000039,Blake,Harris,blake.harris@company.com,+1-593-654-3456,Customer Service,Coordinator,2019-01-25,140685.01,,False,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000040,Casey,Wilson,casey.wilson@company.com,+1-527-628-4213,HR,Manager,2016-08-23,110763.62,,False,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000041,Alex,White,alex.white@company.com,+1-858-290-4890,IT,Manager,2017-09-17,69625.99,,True,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000042,Jamie,White,jamie.white@company.com,+1-590-845-6437,Operations,Associate,2019-02-16,44214.74,,True,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000043,Casey,Taylor,casey.taylor@company.com,+1-754-280-6613,Customer Service,Specialist,2022-07-02,67632.63,,False,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000044,Blake,White,blake.white@company.com,+1-400-243-6783,Customer Service,Coordinator,2022-03-19,60425.78,,True,2025-08-04 19:19:11,2025-08-04 19:19:11
EMP_000045,Casey,Taylor,casey.taylor@company.com,+1-600-950-4640,Customer Service,Senior Specialist,2019-05-21,145652.22,,True,2025-08-04 19:19:11,2025-08-04 19:19:11
