order_id,customer_id,product_id,employee_id,order_date,ship_date,quantity,unit_price,discount_percent,tax_amount,total_amount,order_status,shipping_address,payment_method,created_at,updated_at
ORD_00000001,CUST_000016,PROD_000078,EMP_000021,2024-07-10,2024-07-19,1,763.43,29.4,57.16,935.18,Pending,7553 Pine St,PayPal,2025-08-04 19:19:11,2025-08-04 19:19:11
ORD_00000002,CUST_000322,PROD_000031,EMP_000118,2024-02-28,2024-03-07,8,297.87,2.7,74.8,493.39,Delivered,9866 Oak St,Credit Card,2025-08-04 19:19:11,2025-08-04 19:19:11
ORD_00000003,CUST_000555,PROD_000173,EMP_000166,2025-04-27,2025-05-06,3,287.52,18.3,59.22,940.57,Delivered,4363 Oak St,Debit Card,2025-08-04 19:19:11,2025-08-04 19:19:11
ORD_00000004,CUST_000618,PROD_000123,EMP_000086,2025-03-12,2025-03-21,10,83.69,1.6,70.71,995.75,Shipped,6004 Pine St,Debit Card,2025-08-04 19:19:11,2025-08-04 19:19:11
ORD_00000005,CUST_000844,PROD_000142,EMP_000089,2025-04-18,2025-04-23,6,491.24,25.1,31.9,781.71,Processing,48 Main St,Debit Card,2025-08-04 19:19:11,2025-08-04 19:19:11
ORD_00000006,CUST_000865,PROD_000094,EMP_000128,2025-03-27,2025-03-28,10,27.87,22.0,6.34,405.31,Returned,5607 Pine St,PayPal,2025-08-04 19:19:11,2025-08-04 19:19:11
ORD_00000007,CUST_000471,PROD_000044,EMP_000055,2025-06-10,2025-06-13,5,849.13,14.1,17.76,171.33,Cancelled,5376 Main St,PayPal,2025-08-04 19:19:11,2025-08-04 19:19:11
ORD_00000008,CUST_000060,PROD_000023,EMP_000125,2025-07-29,2025-08-07,9,190.93,20.7,71.71,247.97,Processing,6877 Oak St,Bank Transfer,2025-08-04 19:19:11,2025-08-04 19:19:11
ORD_00000009,CUST_000947,PROD_000198,EMP_000096,2024-01-26,2024-01-27,8,75.24,23.6,94.3,645.07,Pending,1499 Oak St,PayPal,2025-08-04 19:19:11,2025-08-04 19:19:11
ORD_00000010,CUST_000626,PROD_000046,EMP_000119,2025-08-02,2025-08-04,2,321.82,12.8,74.75,53.18,Shipped,3726 Pine St,Credit Card,2025-08-04 19:19:11,2025-08-04 19:19:11
ORD_00000011,CUST_000140,PROD_000052,EMP_000012,2023-12-29,2023-12-30,8,80.16,12.9,31.39,24.56,Delivered,4202 Main St,Credit Card,2025-08-04 19:19:11,2025-08-04 19:19:11
ORD_00000012,CUST_000588,PROD_000080,EMP_000144,2024-03-05,2024-03-11,5,234.72,19.4,79.74,526.68,Delivered,9718 Main St,Debit Card,2025-08-04 19:19:11,2025-08-04 19:19:11
ORD_00000013,CUST_000353,PROD_000034,EMP_000153,2024-06-07,2024-06-12,5,956.97,23.0,41.34,735.38,Cancelled,8433 Oak St,Bank Transfer,2025-08-04 19:19:11,2025-08-04 19:19:11
ORD_00000014,CUST_000825,PROD_000080,EMP_000138,2025-01-08,2025-01-10,4,902.67,21.8,7.07,265.24,Pending,2519 Pine St,Bank Transfer,2025-08-04 19:19:11,2025-08-04 19:19:11
ORD_00000015,CUST_000702,PROD_000047,EMP_000018,2024-12-19,2024-12-27,5,221.19,26.4,79.07,366.34,Shipped,8586 Oak St,PayPal,2025-08-04 19:19:11,2025-08-04 19:19:11
ORD_00000016,CUST_000431,PROD_000136,EMP_000016,2025-03-01,2025-03-08,5,979.21,13.1,74.53,453.33,Cancelled,8978 Oak St,PayPal,2025-08-04 19:19:11,2025-08-04 19:19:11
ORD_00000017,CUST_000954,PROD_000139,EMP_000129,2024-10-01,2024-10-05,9,310.59,5.3,80.02,388.8,Returned,4882 Pine St,Debit Card,2025-08-04 19:19:11,2025-08-04 19:19:11
ORD_00000018,CUST_000049,PROD_000085,EMP_000086,2024-01-28,2024-01-29,8,818.13,27.8,70.47,399.54,Delivered,5498 Pine St,Credit Card,2025-08-04 19:19:11,2025-08-04 19:19:11
ORD_00000019,CUST_000984,PROD_000102,EMP_000041,2024-07-27,2024-07-31,10,190.93,24.7,59.41,545.43,Shipped,5318 Oak St,Credit Card,2025-08-04 19:19:11,2025-08-04 19:19:11
ORD_00000020,CUST_000645,PROD_000180,EMP_000080,2024-03-16,2024-03-17,10,110.69,7.0,95.1,996.81,Delivered,8316 Pine St,Credit Card,2025-08-04 19:19:11,2025-08-04 19:19:11
ORD_00000021,CUST_000704,PROD_000005,EMP_000037,2023-11-27,2023-12-03,5,707.11,13.4,38.91,689.87,Processing,2756 Main St,Credit Card,2025-08-04 19:19:11,2025-08-04 19:19:11
ORD_00000022,CUST_000735,PROD_000159,EMP_000095,2024-06-14,2024-06-18,6,819.39,28.0,69.86,92.33,Processing,11 Oak St,Debit Card,2025-08-04 19:19:11,2025-08-04 19:19:11
ORD_00000023,CUST_000449,PROD_000081,EMP_000145,2025-01-29,2025-02-04,1,20.46,25.8,75.95,702.64,Pending,1294 Pine St,Credit Card,2025-08-04 19:19:11,2025-08-04 19:19:11
ORD_00000024,CUST_000220,PROD_000185,EMP_000047,2024-08-23,2024-08-29,10,267.02,19.0,61.76,41.67,Shipped,719 Pine St,Credit Card,2025-08-04 19:19:11,2025-08-04 19:19:11
ORD_00000025,CUST_000722,PROD_000049,EMP_000034,2024-05-07,2024-05-15,10,555.23,27.9,70.83,593.99,Shipped,460 Oak St,Credit Card,2025-08-04 19:19:11,2025-08-04 19:19:11
ORD_00000026,CUST_000010,PROD_000101,EMP_000074,2025-06-15,2025-06-25,4,970.13,23.2,1.22,693.13,Cancelled,1942 Oak St,PayPal,2025-08-04 19:19:11,2025-08-04 19:19:11
